col1,col2,col3,col4,col5,col6,col7,col8,sort_date
2025-2355,09/05/2025 10:47 AM,09/05/2025 10:40 AM - 09/05/2025,Harassment,Silver Center - Exterior,Washington Square,A student reported Harassment.,Open,2025-09-05
2025-2356,09/05/2025 12:59 PM,07/16/2025 12:00 AM - 09/05/2025,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Open,2025-09-05
02483-2025,09/05/2025 11:32 PM,09/05/2025 10:00 PM - 09/05/2025,Liquor Law Violation,Palladium Residence Hall,Washington Square,A student reported a Liquor Law Violation. x21,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-05
02487-2025,09/06/2025 1:29 AM,09/05/2025 12:56 AM - 09/05/2025,Liquor Law Violation,Third North Residence Hall,Washington Square,A student reported a Liquor Law Violation. x6,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-06
2025-2366,09/06/2025 7:01 PM,09/06/2025 5:30 PM - 09/06/2025 6:45 PM,Larceny,Palladium Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-06
02485-2025,09/06/2025 12:34 AM,09/05/2025 11:35 PM - 09/05/2025,Liquor Law Violation,Third North Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-06
02498-2025,09/06/2025 11:54 PM,09/06/2025 11:25 PM - 09/06/2025,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x5,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-06
02503-2025,09/07/2025 1:47 AM,09/06/2025 11:07 PM - 09/06/2025,Liquor Law Violation,Founders Residence Hall,Washington Square,A student reported a Liquor Law Violation. x7,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-07
02504-2025,09/07/2025 1:54 AM,09/06/2025 11:40 PM - 09/06/2025,Liquor Law Violation,Palladium Residence Hall,Washington Square,A student reported a Liquor Law Violation. x25,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-07
2025-2376,09/07/2025 9:03 PM,09/07/2025 4:15 PM - 09/07/2025 9:03 PM,Larceny,Bobst Library,Washington Square,A student reported a Larceny.,Open,2025-09-07
02502-2025,09/07/2025 1:24 AM,09/06/2025 9:38 PM - 09/06/2025,Liquor Law Violation,Palladium Residence Hall,Washington Square,A student reported a Liquor Law Violation. x16,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-07
2025-2384,09/08/2025 11:15 AM,09/08/2025 10:36 AM - 09/08/2025 11:15 AM,Harassment,194 Mercer Street,Washington Square,A student reported harassment.,Open,2025-09-08
2025-2393,09/08/2025 4:15 PM,09/08/2025 2:51 PM - 09/08/2025 2:53 PM,Harassment,Hayden Hall,Washington Square,A student reported harassing phone calls,Open,2025-09-08
2025-2395,09/08/2025 9:20 PM,09/08/2025 9:16 PM,Harassment,Washington Square Park South,Washington Square,A student reported harassment.,Open,2025-09-08
2025-2389,09/08/2025 2:41 PM,09/04/2025 5:59 AM,Criminal Mischief and Larceny,Lipton Hall,Washington Square,A card reader was removed from an exterior wall of Lipton Hall.,Open,2025-09-08
2025-2398,09/09/2025 2:36 AM,09/09/2025 1:00 AM,Drug Law Violation (x2),University Hall,Washington Square,A student report possession of an illegal substance.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-09-09
2025-2405,09/09/2025 10:47 AM,05-21-2025 - 07/31/2025,Larceny,1 Washington Place,Washington Square,A staff member reported missing property.,Closed/ Referred to NYPD,2025-09-09
02548-2025,09/09/2025 6:51 AM,09/09/2025 6:40 AM - 09/09/2025 7:00 AM,Disorderly Conduct,Jacobs Building,Brooklyn Commons,A Campus Safety Officer reported Disorderly Conduct.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-09-09
02550-2025,09/09/2025 12:00 PM,09/07/2025 3:05 AM,Larceny,Brittany Hall,Washington Square,A student reported stolen property.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-09-09
2025-2408,09/09/2025 6:10 PM,09/09/2025 5:37 PM,Simple Assault,Vanderbilt Hall - Exterior,Washington Square,A student reported a Simple Assault.,Closed/ Referred to NYPD,2025-09-09
2025-2412,09/09/2025 11:39 PM,09/09/2025 10:00 PM - 09/09/2025 11:30 PM,Criminal Mischief / Hate Crime,Weinstein Residence Hall,Washington Square,A student reported graffiti motivated by bias.,Closed/ Referred to NYPD,2025-09-09
02574-2025,09/10/2025 9:50 PM,09-05-2025,Rape / Liquor Law Violation,University Hall,Washington Square,A student reported a Rape and underage possession of alcohol.,Closed/ Referred to Office of Student Conduct & Community Standards,2025-09-10
2025-2424,09/10/2025 3:15 PM,09/10/2025 3:00 PM - 09/10/2025 3:16 PM,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Open,2025-09-10
2025-2422,09/10/2025 4:24 PM,09/10/2025 3:45 PM,Harassment,Coral Towers - Exterior,Washington Square,A student reported Harassment.,Open,2025-09-10
2025-2417,09/10/2025 12:00 AM,04/2025 - 09/10/2025,Harassment,19 University Place,Washington Square,A staff member reported Harassment.,Closed/ Referred to NYPD,2025-09-10
2025-2416,09/10/2025 12:00 PM,09/09/2025 9:30 PM,Criminal Mischief,Weinstein Hall,Washington Square,A staff member reported property damage.,Open,2025-09-10
2025-2414,09/10/2025 11:49 AM,09/10/2025 11:30 AM,Motor Vehicle Accident,West 4th at Mercer Street,Washington Square,A staff member reported a Motor Vehicle Accident.,Open,2025-09-10
2025-2413,09/10/2025 1:30 AM,09/10/2025 1:27 AM - 09/10/2025 1:30 AM,Harassment,Third North Residence Hall,Washington Square,Five students reports Harassment.,Open,2025-09-10
2025-2415,09/10/2025 12:00 AM,10/07/2024 12:30 PM - 10/07/2024 12:40 AM,Larceny,Palladium Hall,Washington Square,A student reported stolen property.,Open,2025-09-10
2025-2429,09/11/2025 7:10 AM,09/11/2025 6:35 AM,Criminal Trespass,Skirball Center,Washington Square,A staff member reported Criminal Trespass.,Open,2025-09-11
2025-2430,09/11/2025 11:13 AM,09/11/2025 10:15 AM - 09/11/2025 1:18 PM,Intimidation / Hate Crime,44 W 4th Street,Washington Square,A staff member reported intimidation motivated by bias.,Closed/ Referred to NYPD,2025-09-11
2025-2432,09/11/2025 11:00 AM,09/11/2025 10:45 AM - 09/11/2025 12:20 PM,Hate Crime/Intimidation,383 Lafayette Street,Washington Square,A staff member reported a Hate Crime/Intimidation.,Closed/Referred to NYPD,2025-09-11
2025-2433,09/11/2025 12:09 PM,09/11/2025 6:57 AM - 09-11-2025,Harassment,1st Avenue & East 24th Street,Kips Bay,A student reported Harassment.,Open,2025-09-11
2025-2434,09/11/2025 12:26 PM,09/11/2025 11:28 AM - 09/11/2025 11:40 AM,Larceny,Schwartz Hall,Kips Bay,A staff member reported a Larceny.,Open,2025-09-11
2025-2435,09/11/2025 12:32 PM,09/11/2025 11:34 AM - 09-11-2025,Bomb Threat/Falsely Reporting an Incident.,400 Lafayette Street,Washington Square,A staff member reported a Bomb Threat/Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-11
02604-2025,09/12/2025 2:00 AM,09/12/2025 12:24 AM - 09-12-2025,Liquor Law Violation,Weinstein Residence Hall,Washington Square,A student reported a Liquor Law Violation. x3,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-12
2025-2447,09/12/2025 11:42 AM,09/12/2025 11:32 AM - 09/12/2025 12:18 PM,Criminal Mischief,Bobst Library - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/Referred to NYPD,2025-09-12
2025-2450,09/12/2025 4:20 PM,09/11/2025,Harassment,10 Astor Place,Washington Square,A staff member reported Harassment.,Open,2025-09-12
2025-2451,09/12/2025 9:04 PM,09/07/2025 - 09/12/2025,Harassment,Founders Residence Hall,Washington Square,A student reported Harassment.,Open,2025-09-12
02624-2025,09/13/2025 1:05 PM,09/12/2025 11:50 PM - 09/12/2025,Liquor Law Violation,Carlyle Court Residence Hall,Washington Square,A student reported a Liquor Law Violation. x5,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-13
02621-2025,09/13/2025 9:27 AM,09/12/2025 11:10 PM - 09/12/2025,Liquor Law Violation,Brittany Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-13
02614-2025,09/13/2025 12:45 AM,09/12/2025 11:50 PM - 09/12/2025,Liquor Law Violation,Weinstein Residence Hall,Washington Square,A student reported a Liquor Law Violation. x3,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-13
2025-2476,09/14/2025 5:56 PM,09/14/2025 5:52 PM - 09/14/2025 6:20 PM,Falsely Reporting an Incident,Bobst Library,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-14
2025-2473,09/14/2025 2:42 PM,09/14/2025,Simple Assault,Waverly Place and Broadway,Washington Square,A student reported a Simple Assault.,Open,2025-09-14
02636-2025,09/14/2025 1:16 AM,09/13/2025 11:30 PM - 09/13/2025,Liquor Law Violation,Carlyle Court Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-14
02638-2025,09/14/2025 2:03 AM,09/14/2025 12:10 AM - 09/14/2025,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x2,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-14
02639-2025,09/14/2025 1:46 AM,09/13/2025 11:10 PM - 09/13/2025,Liquor Law Violation,Rubin Residence Hall,Washington Square,A student reported a Liquor Law Violation. x15,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-14
02652-2025,09/14/2025 10:35 PM,09/14/2025 10:25 PM - 09/14/2025,Criminal Mischief,Carlyle Court Residence Hall,Washington Square,A student reported Criminal Mischief.,Open,2025-09-14
2025-2483,09/15/2025 10:21 AM,09/15/2025 9:35 AM - 09/15/2025 10:57 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Closed/Referred to NYPD,2025-09-15
2025-2485,09/15/2025 11:19 AM,09/13/2025 5:48 PM - 09/15/2025 10:47 AM,Harassment,East Building,Washington Square,A staff member reported Harassment.,Open,2025-09-15
2025-2488,09/15/2025 2:00 PM,09-13-2025,Harassment,West 3rd Street & LaGuardia Place,Washington Square,A student reported Harassment.,Open,2025-09-15
2025-2490,09/15/2025 3:53 PM,09/15/2025 3:52 PM - 09/15/2025 3:56 PM,Falsely Reporting an Incident,105 East 17th Street,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-15
2025-2497,09/15/2025 6:03 PM,09/15/2025 2:25 PM - 09-15-2025,Larceny,West 3rd & Mercer Street,Washington Square,A student reported a Larceny.,Closed/Referred to NYPD,2025-09-15
2025-2517,09/16/2025 5:21 PM,09/12/2025 10:30 PM - 09/12/2025 10:55 PM,Simple Assault,Washington Square Park,Washington Square,A student reported a Simple Assault.,Closed/Referred to NYPD,2025-09-16
2025-2515,09/16/2025 2:21 PM,09/16/2025 2:20 PM - 09/16/2025 2:22 PM,Falsely Reporting an Incident,Wagner Building,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-16
2025-2516,09/16/2025 3:44 PM,09/16/2025 2:00 PM - 09/16/2025 3:10 PM,Larceny,Rogers Hall,Brooklyn Commons,A student reported a Larceny.,Open,2025-09-16
2025-2511,09/16/2025 12:23 PM,09/16/2025 11:45 AM - 09/16/2025 11:49 AM,Harassment,Washington Square Park,Washington Square,A non-NYU affiliate reported Harassment.,Open,2025-09-16
2025-2513,09/16/2025 1:33 PM,09/16/2025 1:00 PM - 09-16-2025,Harassment,Schwartz Hall,Kips Bay,A staff member reported Harassment.,Open,2025-09-16
2025-2510,09/16/2025 12:27 PM,09/05/2025 4:00 PM - 09/15/2025 5:00 PM,Larceny,14A Washington Mews,Washington Square,A staff member reported a Larceny.,Open,2025-09-16
02698-2025,09/17/2025 1:18 AM,09/17/2025 11:00 PM - 09/17/2025 11:20 PM,Larceny,Carlyle Court Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-17
2025-2535,09/17/2025 5:31 PM,09/17/2025 5:05 PM - 09/17/2025 5:05 PM,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Open,2025-09-17
02700-2025,09/17/2025 11:57 AM,09-16-2025,Criminal Tampering,Coral Towers Residence Hall,Washington Square,A campus safety officer reported Criminal Tampering.,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-17
2025-2530,09/17/2025 1:38 PM,09/19/2025 2:00 PM - 09/17/2025 2:00 PM,Larceny,Washington Square Park,Washington Square,A student reported a Larceny.,Closed/Referred to NYPD,2025-09-17
2025-2527,09/17/2025 12:28 PM,09-17-2025 - 09/17/2025 11:56 AM,Larceny,Third North Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-17
2025-2536,09/18/2025 2:03 AM,09/17/2025 9:00 PM - 09/18/2025 1:00 AM,Larceny,University Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-18
2025-2540,09/18/2025 11:48 AM,09/18/2025 11:47 AM - 09/18/2025 11:52 AM,Falsely Reporting an Incident,Bobst Library,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-18
2025-2545,09/18/2025 3:55 PM,09/18/2025 1:15 PM - 09/18/2025 1:30 PM,Larceny,Kaufman Management Center,Washington Square,A student reported a Larceny.,Open,2025-09-18
2025-2550,09/18/2025 8:27 PM,09/16/2025 9:37 PM - 09/16/2025 10:30 PM,Larceny,Carlyle Court Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-18
2025-2553,09/19/2025 9:22 AM,09/16/2025 11:29 PM - 09/19/2025 7:09 AM,Larceny,7 Washington Place,Washington Square,A campus safety officer reported a Larceny.,Open,2025-09-19
2025-2558,09/19/2025 1:18 PM,09/19/2025 12:50 PM - 09/19/2025 1:15 PM,Larceny,Shimkin Hall,Washington Square,A student reported a Larceny.,Closed/Referred to NYPD,2025-09-19
02773-2025,09/20/2025 3:07 AM,09/20/2025 12:10 AM - 09/20/2025 12:10 AM,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x4,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-20
02775-2025,09/20/2025 3:17 AM,09/19/2025 9:58 PM - 09-19-2025,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x11,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-20
02774-2025,09/20/2025 3:12 AM,09/20/2025 12:30 AM - 09/20/2025 12:30 AM,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x8,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-20
2025-2576,09/20/2025 12:29 PM,09/20/2025 12:30 PM - 09/20/2025 12:42 PM,Falsely Reporting an Incident,Pless Hall,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Open,2025-09-20
02771-2025,09/20/2025 3:00 AM,09/20/2025 12:00 AM - 09/20/2025 12:00 AM,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x5,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-20
02785-2025,09/20/2025 3:27 AM,09/19/2025 9:50 PM - 09-19-2025,Liquor Law Violation,Brittany Residence Hall,Washington Square,A student reported a Liquor Law Violation. x7,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-20
02795-2025,09/21/2025 1:39 AM,09/20/2025 11:15 PM - 09-20-2025,Liquor Law Violation,University Residence Hall,Washington Square,A student reported a Liquor Law Violation. x14,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-21
2025-2596,09/21/2025 10:47 PM,09/21/2025 10:47 PM - 09/21/2025 10:55 PM,Falsley Reported an Incident,370 Jay Street,Brooklyn Commons,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-21
2025-2590,09/21/2025 6:17 PM,09/21/2025 6:15 PM - 09/21/2025 6:40 PM,Falsely Reporting an Incident,370 Jay Street,Brooklyn Commons,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-21
2025-2594,09/21/2025 9:49 PM,09/21/2025 9:45 PM - 09/21/2025 9:57 PM,Falsely Reporting an Incident,Bobst Library,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-21
2025-2593,09/21/2025 9:37 PM,09/21/2025 9:37 PM - 09/21/2025 9:45 PM,Falsely Reporting an Incident,370 Jay Street,Brooklyn Commons,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-21
2025-2592,09/21/2025 7:48 PM,09/20/2025 5:40 PM - 09-21-2025,Criminal Mischief,Carlyle Court Residence Hall,Washington Square,A student reported Criminal Mischief.,Open,2025-09-21
2025-2591,09/21/2025 6:00 PM,09/21/2025 10:30 AM - 09/21/2025 6:00 PM,Motor Vehicle Theft,Schwartz Plaza,Washington Square,A student reported a E-bike theft.,Closed/Referred to NYPD,2025-09-21
2025-2589,09/21/2025 6:27 PM,09/21/2025 6:15 PM - 09/21/2025 6:21 PM,Larceny,Sullivan Street & Washington Square South,Washington Square,A student reported a Larceny.,Open,2025-09-21
2025-2595,09/21/2025 10:40 PM,09/21/2025 10:40 PM - 09/21/2025 10:57 PM,Falsely Reported an Incident,725 Broadway,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Open,2025-09-21
2025-2600,09/22/2025 2:00 PM,09-22-2025 - 09/22/2025 2:30 PM,Criminal Mischief,1 Washington Square North - Exterior,Washington Square,A staff member reported Criminal Mischief.,Open,2025-09-22
2025-2601,09/22/2025 2:03 PM,09/22/2025 2:03 PM - 09/22/2025 2:42 PM,Criminal Mischief,370 Jay Street - Exterior,Washington Square,A staff member reported Criminal Mischief.,Open,2025-09-22
2025-2602,09/22/2025 2:15 PM,09/22/2025 9:45 AM - 09/22/2025 2:15 PM,Motor Vehicle Theft,383 Lafayette - Exterior,Washington Square,A student reported a E-bike theft.,Open,2025-09-22
2025-2614,09/23/2025 5:03 PM,09/19/2025 2:45 PM - 09/19/2025 2:54 PM,Menacing,Schwartz Hall,Kips Bay,An individual reported Menacing.,Open,2025-09-23
2025-2613,09/23/2025 4:21 PM,09/23/2025 4:17 PM - 09/23/2025 4:19 PM,Falsely Reporting an Incident,Wagner Building,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-23
2025-2608,09/23/2025 11:25 AM,09/23/2025 11:25 AM,Criminal Mischief,113 Second Avenue,Washington Square,A Campus Safety Officer reported graffiti.,Open,2025-09-23
2025-2612,09/23/2025 4:00 PM,09/23/2025 2:24 PM,Harassment,Bobst Library,Washington Square,A staff member reported harassment.,Open,2025-09-23
02850-2025,09/23/2025 8:00 PM,09/23/2025 7:55 PM - 09-23-2025,Criminal Mischief,Carlyle Court Residence Hall,Washington Square,A student reported Criminal Mischief.,Open,2025-09-23
02866-2025,09/24/2025 9:57 PM,09/20/2025 9:50 PM - 09-20-2025,Liquor Law Violation,Brittany Residence Hall,Washington Square,A student reported a Liquor Law Violation. x15,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-24
2025-2629,09/24/2025 3:46 PM,09/14/2025 8:00 PM - 09/14/2025 10:00 PM,Harassment,Washington Square Park,Washington Square,A student reported Harassment.,Open,2025-09-24
2025-2634,09/24/2025 6:52 PM,09/24/2025 6:50 PM - 09/24/2025 7:27 PM,Falsely Reporting an Incident,Bobst Library,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-24
02885-2025,09/25/2025 8:56 PM,09/25/2025 7:30 PM - 09/25/2025 7:41 PM,Harassment,Palladium Residence Hall - Exterior,Washington Square,A student reported Harassment.,Open,2025-09-25
2025-2649,09/25/2025 1:50 PM,09-11-2025 - 09-11-2025,Larceny,1 Washington Place,Washington Square,A staff member reported a Larceny.,Open,2025-09-25
2025-2646,09/25/2025 1:23 PM,09/24/2025 5:45 PM - 09-24-2025,Larceny,Dibner Library,Brooklyn Commons,A student reported a Larceny.,Open,2025-09-25
2025-2650,09/25/2025 2:01 PM,09/25/2025 12:00 PM - 09/25/2025 1:00 PM,Motor Vehicle Theft,Paulson Center - Exterior,Washington Square,A student reported an E-bike theft.,Closed/Referred to NYPD,2025-09-25
2025-2643,09/25/2025 11:22 AM,09/25/2025 11:11 AM - 09/25/2025 11:24 AM,Harassment,Lipton Hall - Exterior,Washington Square,A campus safety officer reported Harassment.,Closed/Referred to NYPD,2025-09-25
2025-2639,09/25/2025 6:06 AM,09/25/2025 6:06 AM - 09-25-2025,Loitering,Lipton Residence Hall - Exterior,Washington Square,A campus safety officer reported Loitering.,Closed/Referred to NYPD,2025-09-25
2025-2644,09/25/2025 12:15 PM,09/18/2025 7:00 PM - 09/24/2025 5:30 PM,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Open,2025-09-25
2025-2659,09/26/2025 10:38 AM,09/26/2025 10:35 AM - 09/26/2025 10:48 AM,Falsely Reporting an Incident,Bobst Library,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-09-26
2025-2664,09/26/2025 3:46 PM,09/19/2025 10:30 AM - 09/26/2025 3:00 PM,Larceny,Weissman Hall,Kips Bay,An individual reported a Larceny.,Open,2025-09-26
2025-2674,09/27/2025 2:09 PM,09/24/2025 6:20 PM - 09/27/2025 2:00 PM,Larceny,Palladium Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-27
2025-2672,09/27/2025 8:13 AM,09/26/2025 8:40 AM - 09/26/2025 4:00 PM,Motor Vehicle Theft,Bobst Library - Exterior,Washington Square,A staff member reported a E-Bike theft.,Open,2025-09-27
2025-2676,09/28/2025 12:22 AM,09/28/2025 12:27 AM - 09/28/2025 12:37 AM,Criminal Trespass,Tisch Bike Rack,Washington Square,A campus safety officer reported a Criminal Trespass.,Open,2025-09-28
2025-2690,09/28/2025 9:12 PM,09/28/2025 9:10 PM - 09/28/2025 9:26 PM,Falsely Reporting an Incident,Carlyle Court Residence Hall,Washington Square,A campus safety officer reported a Falsely Reported Incident.,Open,2025-09-28
2025-2688,09/28/2025 8:32 PM,09/28/2025 1:30 AM - 09/28/2025 2:00 AM,Larceny,D'Agostino Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-28
2025-2685,09/28/2025 5:23 PM,09/28/2025 5:45 PM - 09/28/2025 6:20 PM,Drug/Weapons Law Violation,Carlyle Court Residence Hall,Washington Square,A staff member reported a Drug/Weapons Law Violation.,Closed/Referred to Office of Student Conduct & Community Standards,2025-09-28
2025-2679,09/28/2025 8:34 AM,09/28/2025 8:17 AM - 09/28/2025 9:09 AM,Criminal Mischief,Warren Weaver Hall - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Closed/Referred to NYPD,2025-09-28
2025-2680,09/28/2025 9:54 AM,09/28/2025 8:50 AM - 09/28/2025 9:00 AM,Larceny,Mercer Street & Bleecker Street,Washington Square,A student reported a Larceny.,Open,2025-09-28
2025-2682,09/28/2025 10:22 AM,09/28/2025 10:15 AM - 09/28/2025 10:45 AM,Criminal Mischief,Tisch Bike Rack,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-09-28
2025-2692,09/29/2025 8:52 AM,09/29/2025 6:15 AM - 09/29/2025 8:00 AM,Motor Vehicle Theft,Thompson Street & Washington Square South,Washington Square,An individual reported a Motor Vehicle Theft.,Closed/Referred to NYPD,2025-09-29
2025-2694,09/29/2025 11:48 AM,09-25-2025 Unknown - 09-29-2025,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Open,2025-09-29
2025-2703,09/29/2025 8:35 PM,09/24/2025 12:11 PM - 09/26/2025 7:30 PM,Larceny,Weinstein Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-09-29
2025-2706,09/30/2025 9:15 AM,09/30/2025 8:30 AM - 09-30-2025,Criminal Mischief,370 Jay Street - Exterior,Brooklyn Commons,A campus safety officer reported Criminal Mischief.,Open,2025-09-30
2025-2710,09/30/2025 10:30 AM,09/30/2025 10:26 AM - 09/30/2025 12:00 PM,Use of Hate Symbol,Silver Center - Exterior,Washington Square,A staff member reported Use of a Hate Symbol.,Closed/Referred to NYPD,2025-09-30
2025-2720,10/01/2025 8:47 AM,10/01/2025 8:21 AM - 10/01/2025 8:37 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-10-01
2025-2722,10/01/2025 10:10 AM,09/27/2025 10:00 PM - 09/28/2025 10:00 AM,Criminal Mischief,Silver Center,Washington Square,A staff member reported Criminal Mischief.,Open,2025-10-01
2025-2729,10/01/2025 2:53 PM,10/01/2025 2:53 PM - 10/01/2025,Falsely Reporting an Incident,Alumni Relations,Washington Square,A staff member reported a Falsely Reported Incident.,Closed/Referred to NYPD,2025-10-01
2025-2730,10/01/2025 6:23 PM,10/01/2025 6:30 PM - 10/01/2025 6:35 PM,Larceny,Kaufman Management Center - Exterior,Washington Square,A student reported a Larceny.,Open,2025-10-01
2025-2748,10/02/2025 5:34 PM,10/02/2025 5:31 PM - 10-02-2025,Dating Violence,Midtown Center - Exterior,Midtown Center,A student reported Dating Violence.,Open,2025-10-02
2025-2747,10/02/2025 5:02 PM,08-19-2025 - 08-19-2025,Larceny,Schwartz Hall,Kips Bay,A student reported a Larceny.,Open,2025-10-02
2025-2733,10/02/2025 3:17 AM,10/02/2025 3:17 AM - 10/02/2025 4:40 AM,Dating Violence,Othmer Residence Hall,Brooklyn Commons,A student reported Dating Violence. x2,Closed/Referred to NYPD,2025-10-02
2025-2741,10/02/2025 1:57 PM,10/02/2025 1:50 PM - 10/02/2025 2:10 PM,Criminal Trespass,238 Thompson Street,Washington Square,A campus safety officer reported a Criminal Trespass.,Closed/Referred to NYPD,2025-10-02
2025-2744,10/02/2025 2:08 PM,10/02/2025 1:52 PM - 10/02/2025 1:58 PM,Larceny,720 Broadway - Exterior,Washington Square,A student reported a Larceny.,Closed/Referred to NYPD,2025-10-02
2025-2754,10/03/2025 9:04 AM,10/03/2025 8:39 AM - 10/03/2025 9:03 AM,Disorderly Conduct,Schwartz Hall,Kips Bay,A staff member reported Disorderly Conduct.,Open,2025-10-03
2025-2755,10/03/2025 11:00 AM,10/01/2025 8:00 AM - 10/01/2025 8:10 PM,Larceny,Founders Residence Hall,Washington Square,A student reported a Larceny.,Open,2025-10-03
2025-2766,10/04/2025 12:54 AM,10/04/2025 12:46 AM - 10/04/2025 1:25 AM,Criminal Mischief,Gould Plaza,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-10-04
03052-2025,10/05/2025 1:12 AM,10/04/2025 10:20 PM - 10/05/2025 12:20 AM,Harassment,Second Street Residence Hall,Washington Square,A student reported Harassment.,Closed/Referred to NYPD,2025-10-05
2025-2776,10/05/2025 3:16 AM,10/05/2025 3:10 AM - 10/05/2025 3:20 AM,Criminal Mischief,Warren Weaver Hall - Exterior,Washington Square,A campus safety officer reported Criminal Mischief.,Open,2025-10-05
2025-2802,10/06/2025 8:37 PM,10/06/2025 8:37 PM - 10/06/2025 8:54 PM,Bomb Threat/Falsely Reporting an Incident,Bobst Library,Washington Square,A campus safety officer reported a Bomb Threat/Falsely Reporting an Incident.,Closed/Referred to NYPD,2025-10-06
2025-2798,10/06/2025 3:04 PM,10/06/2025 3:04 PM - 10/06/2025 3:57 PM,Bomb Threat/Falsely Reporting an Incident,370 Jay Street,Brooklyn Commons,A staff member reported a Bomb Threat/Falsely Reporting an Incident.,Closed/Referred to NYPD,2025-10-06
03081-2025,10/06/2025 6:03 PM,09/30/2025 9:40 AM - 09-30-2025,Harassment,Basic Science Building,Kips Bay,A staff member reported Harassment.,Closed/Referred to Office of Student Conduct & Community Standards,2025-10-06
